"id","zeeid","zipcode","type"
"248","1037","12255","POL"
"249","1037","12257","POL"
"250","1037","12260","POL"
"251","1037","12261","POL"
"252","1037","12288","POL"
"253","1037","12303","POL"
"254","1037","12304","POL"
"255","1037","12309","POL"
"256","1037","12047","POL"
"257","1037","12110","POL"
"258","1037","12128","POL"
"259","1037","12189","POL"
"260","1037","12203","POL"
"261","1037","12204","POL"
"262","1037","12206","POL"
"263","1037","12211","POL"
"264","1038","36571","POL"
"265","1038","36601","POL"
"266","1038","36602","POL"
"267","1038","36603","POL"
"268","1038","36604","POL"
"269","1038","36605","POL"
"270","1038","36607","POL"
"271","1038","36610","POL"
"272","1038","36611","POL"
"273","1038","36615","POL"
"274","1038","36617","POL"
"275","1038","36628","POL"
"276","1038","36633","POL"
"277","1038","36640","POL"
"278","1038","36641","POL"
"279","1038","36644","POL"
"280","1038","36652","POL"
"281","1038","36663","POL"
"282","1038","36670","POL"
"283","1038","36671","POL"
"284","1038","36695","POL"
"285","1038","36606","POL"
"286","1038","36608","POL"
"287","1038","36609","POL"
"288","1038","36616","POL"
"289","1038","36660","POL"
"290","1038","36685","POL"
"291","1038","36688","POL"
"292","1038","36689","POL"
"293","1038","36691","POL"
"294","1038","36693","POL"
"295","1043","78708","POL"
"296","1043","78718","POL"
"297","1043","78720","POL"
"298","1043","78758","POL"
"299","1043","78759","POL"
"300","1043","78701","POL"
"301","1043","78703","POL"
"302","1043","78705","POL"
"303","1043","78711","POL"
"304","1043","78712","POL"
"305","1043","78713","POL"
"306","1043","78722","POL"
"307","1043","78751","POL"
"308","1043","78752","POL"
"309","1043","78756","POL"
"310","1043","78757","POL"
"311","1043","78761","POL"
"312","1043","78765","POL"
"313","1043","78766","POL"
"314","1043","78767","POL"
"315","1043","78768","POL"
"316","1043","78773","POL"
"317","1043","78774","POL"
"318","1043","78778","POL"
"319","1044","66203","POL"
"320","1044","66206","POL"
"321","1044","66207","POL"
"322","1044","66208","POL"
"323","1044","66211","POL"
"324","1044","66214","POL"
"325","1044","66215","POL"
"326","1044","66216","POL"
"327","1044","66285","POL"
"328","1044","66204","POL"
"329","1044","66210","POL"
"330","1044","66212","POL"
"331","1044","66213","POL"
"332","1044","66225","POL"
"333","1044","66282","POL"
"334","1046","54514","POL"
"335","1046","54517","POL"
"336","1046","54527","POL"
"337","1046","54534","POL"
"338","1046","54536","POL"
"339","1046","54546","POL"
"340","1046","54547","POL"
"341","1046","54550","POL"
"342","1046","54559","POL"
"343","1046","54565","POL"
"344","1046","54806","POL"
"345","1046","54814","POL"
"346","1046","54820","POL"
"347","1046","54821","POL"
"348","1046","54827","POL"
"349","1046","54828","POL"
"350","1046","54832","POL"
"351","1046","54835","POL"
"352","1046","54836","POL"
"353","1046","54838","POL"
"354","1046","54839","POL"
"355","1046","54843","POL"
"356","1046","54844","POL"
"357","1046","54846","POL"
"358","1046","54847","POL"
"359","1046","54849","POL"
"360","1046","54850","POL"
"361","1046","54854","POL"
"362","1046","54855","POL"
"363","1046","54856","POL"
"364","1046","54862","POL"
"365","1046","54864","POL"
"366","1046","54865","POL"
"367","1046","54867","POL"
"368","1046","54873","POL"
"369","1046","54874","POL"
"370","1046","54876","POL"
"371","1046","54880","POL"
"372","1046","54891","POL"
"373","1046","54896","POL"
"374","1046","54459","POL"
"375","1046","54463","POL"
"376","1046","54501","POL"
"377","1046","54512","POL"
"378","1046","54513","POL"
"379","1046","54515","POL"
"380","1046","54519","POL"
"381","1046","54521","POL"
"382","1046","54524","POL"
"383","1046","54526","POL"
"384","1046","54529","POL"
"385","1046","54530","POL"
"386","1046","54531","POL"
"387","1046","54537","POL"
"388","1046","54538","POL"
"389","1046","54539","POL"
"390","1046","54540","POL"
"391","1046","54545","POL"
"392","1046","54548","POL"
"393","1046","54552","POL"
"394","1046","54554","POL"
"395","1046","54555","POL"
"396","1046","54556","POL"
"397","1046","54557","POL"
"398","1046","54558","POL"
"399","1046","54560","POL"
"400","1046","54561","POL"
"401","1046","54562","POL"
"402","1046","54563","POL"
"403","1046","54564","POL"
"404","1046","54568","POL"
"405","1046","54731","POL"
"406","1046","54801","POL"
"407","1046","54813","POL"
"408","1046","54817","POL"
"409","1046","54819","POL"
"410","1046","54845","POL"
"411","1046","54848","POL"
"412","1046","54859","POL"
"413","1046","54870","POL"
"414","1046","54871","POL"
"415","1046","54875","POL"
"416","1046","54888","POL"
"417","1046","54895","POL"
"418","1050","35744","POL"
"419","1050","35746","POL"
"420","1050","35751","POL"
"421","1050","35752","POL"
"422","1050","35764","POL"
"423","1050","35765","POL"
"424","1050","35766","POL"
"425","1050","35768","POL"
"426","1050","35769","POL"
"427","1050","35771","POL"
"428","1050","35772","POL"
"429","1050","35774","POL"
"430","1050","35776","POL"
"431","1050","35951","POL"
"432","1050","35957","POL"
"433","1050","35962","POL"
"434","1050","35963","POL"
"435","1050","35971","POL"
"436","1050","35974","POL"
"437","1050","35975","POL"
"438","1050","35901","POL"
"439","1050","35902","POL"
"440","1050","35904","POL"
"441","1050","35906","POL"
"442","1050","35954","POL"
"443","1050","35961","POL"
"444","1050","35967","POL"
"445","1050","35968","POL"
"446","1050","35978","POL"
"447","1050","35986","POL"
"448","1050","35988","POL"
"449","1051","64002","POL"
"450","1051","64034","POL"
"451","1051","64055","POL"
"452","1051","64081","POL"
"453","1051","64082","POL"
"454","1051","64133","POL"
"455","1051","64136","POL"
"456","1051","64138","POL"
"457","1051","64139","POL"
"458","1051","64013","POL"
"459","1051","64015","POL"
"460","1051","64057","POL"
"461","1051","64063","POL"
"462","1051","64064","POL"
"463","1051","64065","POL"
"464","1051","64086","POL"
"465","1053","89104","POL"
"466","1053","89110","POL"
"467","1053","89116","POL"
"468","1053","89142","POL"
"469","1053","88901","POL"
"470","1053","88905","POL"
"471","1053","89067","POL"
"472","1053","89115","POL"
"473","1053","89156","POL"
"474","1053","89191","POL"
"475","1057","48101","POL"
"476","1057","48180","POL"
"477","1057","48193","POL"
"478","1057","48217","POL"
"479","1057","48218","POL"
"480","1057","48229","POL"
"481","1057","48146","POL"
"482","1057","48192","POL"
"483","1057","48195","POL"
"484","1061","70433","POL"
"485","1061","70434","POL"
"486","1061","70435","POL"
"487","1061","70447","POL"
"488","1061","70448","POL"
"489","1061","70457","POL"
"490","1061","70470","POL"
"491","1061","70471","POL"
"492","1061","70420","POL"
"493","1061","70431","POL"
"494","1061","70445","POL"
"495","1061","70452","POL"
"496","1061","70458","POL"
"497","1061","70459","POL"
"498","1061","70460","POL"
"499","1061","70461","POL"
"500","1061","70464","POL"
"501","1061","70469","POL"
"502","1071","47001","POL"
"503","1071","47006","POL"
"504","1071","47017","POL"
